year,track_id,track_name,artist_name,album_name,release_date,release_year,explicit,popularity,duration_sec,artist_popularity,artist_genres,duration_min,release_month,years_since_release,genre_group
2010,2yc9sElleYDl3NXMZSgsRv,Blanco y Negro,Malú,Guerra Fria,2010-05-08,2010,0,58,233.666,60,"flamenco pop, flamenco",3.894433333333333,5.0,0,flamenco pop
2010,7bp62Lo0nOBcfB70iUoibE,Barbie de extrarradio,Melendi,Volvamos a empezar (Deluxe edition),2010-10-29,2010,0,65,215.946,73,"flamenco, flamenco pop",3.5991,10.0,0,flamenco
2010,4PHX6bpHDxiR9RGzAKWcyk,Cuando Me Enamoro,Enrique Iglesias,Euphoria,,2010,0,78,200.586,78,"latin pop, latin",3.3431,,0,latin pop
2010,33LvyB8v3LELoM4NKL2WKB,Mira la Vida,Dani Martín,Pequeño,2010-10-26,2010,0,46,221.013,63,,3.68355,10.0,0,unknown
2010,75hfPTtNhiqUglKXIVOaju,Sonrisa,Ana Torroja,Sonrisa,2010-09-14,2010,0,40,259.04,59,latin pop,4.317333333333333,9.0,0,latin pop
2010,1yDwcbcbTEOUoQUaPK0IbK,Con La Mano Levantá (feat. Estopa),Macaco,El Vecindario,2010-11-23,2010,0,44,202.746,54,"spanish-language reggae, latin alternative",3.3791,11.0,0,spanish-language reggae
2010,3hlYxsbq75SWlRfN7XR7Ax,El Secreto de las Tortugas - Version 2010,Maldita Nerea,El Secreto de las Tortugas (Version 2010),2010-06-27,2010,0,49,238.44,55,,3.974,6.0,0,unknown
2010,53DO5Ly0uZEkEUk0ZaZooX,Buscando El Sol,David Otero,Nada-Logico,2010-09-07,2010,0,41,254.44,51,,4.240666666666667,9.0,0,unknown
2010,6DFUgsBxq5K9n8qKc5LJLJ,Estuve a punto de...,Miguel Bosé,Cardio,2010-03-09,2010,0,43,216.653,71,latin pop,3.6108833333333332,3.0,0,latin pop
2010,6T1071kNui4EUABJp4Dciq,Chas! Y Aparezco A Tu Lado,Supersubmarina,Electroviral,2010-02-23,2010,0,46,169.066,52,indie,2.8177666666666665,2.0,0,indie
