year,avg_duration,avg_popularity,std_popularity,avg_artist_popularity,explicit_ratio,n_songs,n_unique_artists,avg_years_since_rel,dominant_genre,pct_afrobeats,pct_amapiano,pct_argentine trap,pct_bachata,pct_bolero,pct_brazilian funk,pct_brazilian pop,pct_celtic rock,pct_chilean trap,pct_colombian pop,pct_corridos tumbados,pct_cuarteto,pct_dancehall,pct_dembow,pct_drill,pct_edm,pct_electro house,pct_europop,pct_flamenco,pct_flamenco pop,pct_flamenco urbano,pct_french r&b,pct_french rap,pct_house,pct_hyperpop,pct_indie,pct_k-pop,pct_kizomba,pct_latin,pct_latin afrobeats,pct_latin folk,pct_latin hip hop,pct_latin indie,pct_latin pop,pct_latin r&b,pct_latin rock,pct_laïko,pct_mariachi,pct_melbourne bounce,pct_merengue,pct_moombahton,pct_neoperreo,pct_pop,pct_rap,pct_reggaeton,pct_reggaeton chileno,pct_reggaeton mexa,pct_rkt,pct_rock en español,pct_singer-songwriter,pct_ska,pct_soft pop,pct_spanish-language reggae,pct_synthpop,pct_techengue,pct_trap latino,pct_tropical house,pct_trova,pct_unknown,pct_urbano latino,pct_villancicos,pib_per_capita,internet_access,pct_escucha_diaria,pct_suscripcion_total,pct_suscripcion_pago,trend_spotify_premium,trend_streaming_music
2010,226.99924,41.52,16.423278650520825,54.24,0.0,50,42,0.56,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.44,0.0,0.02,30658.742228291198,65.8,64.8,0.0,0.0,8.3,56.2
2011,229.1184,37.2,17.487021426399263,51.42,0.02,50,41,-0.14,unknown,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.48,0.0,0.0,31824.62191347769,67.09,64.8,0.67,0.33,17.2,30.6
2012,230.68654,43.46,17.881937072626886,57.26,0.0,50,38,-0.16,unknown,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.36,0.0,0.0,28456.44381514769,69.81,65.0,1.33,0.67,19.2,37.9
2013,224.66192,40.28,14.255739982511596,54.0,0.0,50,40,-0.1,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.44,0.0,0.04,29228.846559842044,71.635,65.2,2.0,1.0,17.7,45.9
2014,233.36278,43.24,16.213574559608993,57.22,0.0,50,42,-0.02,unknown,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.44,0.0,0.0,29707.76550946701,76.1867,65.4,5.88,2.94,18.2,35.2
2015,222.8977157894737,54.22105263157895,20.676936965721843,64.93684210526315,0.0210526315789473,95,85,-0.2421052631578947,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0316,0.0,0.0,0.0947,0.0105,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0105,0.0,0.0105,0.0737,0.0,0.0,0.0,0.0105,0.0105,0.0105,0.0105,0.0,0.0105,0.0,0.1053,0.0,0.0,0.0,0.0105,0.0421,0.0,0.0421,0.0211,0.0,0.0,0.0,0.0526,0.0,0.4105,0.0,0.0105,25982.44161977755,78.6896,65.4,9.76,4.88,26.7,56.2
2016,222.8014795918367,56.642857142857146,21.24634595630142,66.0,0.0510204081632653,98,85,0.1326530612244898,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0,0.0102,0.0,0.0,0.0408,0.0,0.0,0.0816,0.0204,0.0,0.0,0.0,0.0,0.0,0.0306,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.102,0.0102,0.0,0.0,0.0,0.0102,0.0,0.0204,0.0102,0.0102,0.0102,0.1122,0.0,0.0,0.0,0.0,0.0408,0.0,0.0102,0.0,0.0,0.0,0.0102,0.0204,0.0102,0.4082,0.0,0.0,26755.60611493981,80.5613,67.13,13.64,6.82,37.1,40.3
2017,222.22157291666667,56.07291666666666,19.458590197034844,67.45833333333333,0.03125,96,85,-0.0208333333333333,unknown,0.0,0.0,0.0,0.0208,0.0104,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0625,0.0417,0.0104,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0938,0.0,0.0,0.0,0.0104,0.0,0.0104,0.0,0.0,0.0104,0.0,0.1667,0.0,0.0,0.0,0.0,0.0312,0.0,0.0312,0.0104,0.0,0.0,0.0,0.0208,0.0208,0.3854,0.0,0.0,28381.342559690624,84.6022,68.87,17.52,8.76,49.6,26.3
2018,211.71651063829785,54.840425531914896,17.480744055108218,68.02127659574468,0.0638297872340425,94,76,0.0425531914893617,unknown,0.0,0.0,0.0,0.0106,0.0,0.0106,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0319,0.0106,0.0,0.0532,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0106,0.0213,0.0106,0.2128,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0106,0.0,0.0106,0.4255,0.0,0.0,30602.42128811132,86.1072,70.6,21.4,10.7,60.4,30.0
2019,203.3514583333333,54.270833333333336,16.289796074240797,68.22916666666667,0.1770833333333333,96,79,0.125,unknown,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0208,0.0,0.0104,0.0,0.0,0.0521,0.0,0.0208,0.0,0.0104,0.0,0.0104,0.0208,0.0,0.0,0.0521,0.0,0.0,0.0,0.0104,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0104,0.0,0.1875,0.0,0.0,0.0,0.0,0.0104,0.0,0.0208,0.0,0.0,0.0,0.0417,0.0,0.0,0.4167,0.0104,0.0,29786.5245689007,90.7187,70.6,21.4,10.7,64.2,24.2
2020,205.77946938775509,47.24489795918368,21.917869762774245,63.24489795918368,0.1326530612244898,98,82,0.1326530612244898,unknown,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0714,0.0,0.0204,0.0102,0.0,0.0,0.0,0.0612,0.0,0.0,0.0204,0.0,0.0,0.0,0.0102,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.1939,0.0,0.0,0.0,0.0102,0.0102,0.0,0.0102,0.0,0.0,0.0,0.0102,0.0,0.0,0.4388,0.0102,0.0,27233.942646160765,93.2056,67.65,38.65,19.95,65.6,26.5
2021,200.87372631578947,60.357894736842105,13.52925576216828,70.6421052631579,0.2210526315789473,95,69,0.2105263157894736,unknown,0.0,0.0,0.0316,0.0105,0.0,0.0,0.0,0.0,0.0,0.0632,0.0,0.0,0.0,0.0,0.0105,0.0105,0.0,0.0,0.0526,0.0105,0.0211,0.0,0.0,0.0105,0.0,0.0105,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2632,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.4105,0.0105,0.0,30799.477593777483,93.8975,64.7,55.9,29.2,62.4,17.7
2022,203.02973333333333,64.54444444444445,13.40397485161479,75.72222222222223,0.3444444444444444,90,57,0.2777777777777778,unknown,0.0,0.0,0.1111,0.0,0.0,0.0,0.0111,0.0,0.0111,0.0333,0.0,0.0,0.0,0.0111,0.0111,0.0,0.0,0.0,0.0222,0.0111,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,0.2778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,0.3333,0.0333,0.0,30270.26870174581,94.4855,64.7,55.9,29.2,61.8,24.3
2023,199.3016436781609,69.39080459770115,8.752881680748798,79.54022988505747,0.3793103448275862,87,51,0.5977011494252874,reggaeton,0.0115,0.0,0.0805,0.0,0.0,0.0,0.0,0.0,0.0115,0.023,0.0115,0.0,0.0,0.0,0.0,0.023,0.0,0.0115,0.0115,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.3793,0.0115,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.2299,0.046,0.0,33509.01279821385,95.4456,60.7,51.95,27.0,69.0,20.1
2024,196.48351162790692,69.69767441860465,10.37198689620762,74.56976744186046,0.3604651162790697,86,58,1.1744186046511629,unknown,0.0,0.0,0.0349,0.0116,0.0,0.0,0.0,0.0,0.0,0.0116,0.0,0.0116,0.0,0.0116,0.0233,0.0116,0.0,0.0,0.0581,0.0233,0.0233,0.0,0.0116,0.0,0.0,0.0116,0.0116,0.0,0.0,0.0233,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0,0.2209,0.0465,0.0,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0581,0.0,0.0,0.3023,0.0349,0.0,35297.00949955651,95.7575,56.7,48.0,24.8,72.1,25.7
