year,pct_escucha_diaria,pct_suscripcion_total,pct_suscripcion_pago,trend_spotify_premium,trend_streaming_music
2010,64.8,0.0,0.0,8.3,56.2
2011,64.8,0.67,0.33,17.2,30.6
2012,65.0,1.33,0.67,19.2,37.9
2013,65.2,2.0,1.0,17.7,45.9
2014,65.4,5.88,2.94,18.2,35.2
2015,65.4,9.76,4.88,26.7,56.2
2016,67.13,13.64,6.82,37.1,40.3
2017,68.87,17.52,8.76,49.6,26.3
2018,70.6,21.4,10.7,60.4,30.0
2019,70.6,21.4,10.7,64.2,24.2
2020,67.65,38.65,19.95,65.6,26.5
2021,64.7,55.9,29.2,62.4,17.7
2022,64.7,55.9,29.2,61.8,24.3
2023,60.7,51.95,27.0,69.0,20.1
2024,56.7,48.0,24.8,72.1,25.7
